im,L,k,qs,MSE,SNR,PSNR
airplane_256,64,0,1.0,4.357757568359375,26.6647921846003,41.73817295043119
airplane_256,64,1,1.0,4.8000335693359375,24.207893189223554,41.31836086215994
airplane_256,64,2,1.0,4.2759552001953125,27.174910519610748,41.820472144738005
airplane_256,64,3,1.0,4.3272705078125,26.852654517757905,41.76866316055545
airplane_256,64,4,1.0,4.2277679443359375,27.48464473005114,41.869692193328504
arctichare_256,64,0,1.0,4.351043701171875,14.601921795546204,41.74486915570485
arctichare_256,64,1,1.0,3.662200927734375,17.348474621467798,42.49338192553671
arctichare_256,64,2,1.0,3.8095245361328125,16.677566780554432,42.322095857747954
arctichare_256,64,3,1.0,4.3644866943359375,14.556946624666557,41.731471870361794
arctichare_256,64,4,1.0,3.7254180908203125,17.05408582463987,42.419053416770026
baboon_256,64,0,1.0,4.179962158203125,23.70644817440443,41.91908010805306
baboon_256,64,1,1.0,5.3256072998046875,18.606714820683116,40.86711221636869
baboon_256,64,2,1.0,3.7589569091796875,26.36158345748071,42.3801301366241
baboon_256,64,3,1.0,4.4328460693359375,22.354048555820604,41.66397710190884
baboon_256,64,4,1.0,3.438446044921875,28.818848683334664,42.767181469569316
barbara_256,64,0,1.0,4.1322479248046875,26.15722404185945,41.96893990628145
barbara_256,64,1,1.0,3.8314361572265625,28.21086671684648,42.2971876751317
barbara_256,64,2,1.0,3.8719329833984375,27.915807228345898,42.25152529068366
barbara_256,64,3,1.0,4.1534576416015625,26.023651639780898,41.94670575129494
barbara_256,64,4,1.0,4.3555450439453125,24.816213281017358,41.740378514056175
boat_256,64,0,1.0,4.5018463134765625,23.729474329990204,41.59689696135962
boat_256,64,1,1.0,4.633453369140625,23.055470298823018,41.471755642082684
boat_256,64,2,1.0,4.846221923828125,22.04324280073803,41.27677062893261
boat_256,64,3,1.0,4.71307373046875,22.665982465455393,41.39776127031198
boat_256,64,4,1.0,6.3642425537109375,16.785414074281864,40.09333637767212
fruits_256,64,0,1.0,5.6490478515625,20.05252609287551,40.61105107324445
fruits_256,64,1,1.0,4.281463623046875,26.45769984675149,41.81488102426523
fruits_256,64,2,1.0,3.8643951416015625,29.313171995245934,42.2599883343418
fruits_256,64,3,1.0,5.32177734375,21.285685613359025,40.87023660589327
fruits_256,64,4,1.0,4.67877197265625,24.210985298146287,41.429484811876534
lena_256,64,0,1.0,4.7201690673828125,22.228954454792607,41.391228063616964
lena_256,64,1,1.0,4.896392822265625,21.42892268378572,41.23204108246179
lena_256,64,2,1.0,4.4247283935546875,23.713189575796868,41.671937436421345
lena_256,64,3,1.0,4.2327423095703125,24.788757628957775,41.8645853154775
lena_256,64,4,1.0,4.1894378662109375,25.044988508845094,41.90924607109394
monarch_256,64,0,1.0,4.706512451171875,23.688609999805475,41.403811489076936
monarch_256,64,1,1.0,3.6923370361328125,30.195168215686355,42.45779024350432
monarch_256,64,2,1.0,5.2784881591796875,21.12171791484429,40.90570809194844
monarch_256,64,3,1.0,4.6389312744140625,24.03371193058283,41.466624223573056
monarch_256,64,4,1.0,5.6784515380859375,19.634003595392095,40.588504371546236
peppers_256,64,0,1.0,3.9715118408203125,27.917195910510724,42.14124499158062
peppers_256,64,1,1.0,3.965423583984375,27.96005818114654,42.14790775680509
peppers_256,64,2,1.0,5.744842529296875,19.29965417775582,40.538022320376385
peppers_256,64,3,1.0,3.83734130859375,28.8933053395047,42.29049932050965
peppers_256,64,4,1.0,5.2571868896484375,21.089886368583745,40.923269446825955
zelda_256,64,0,1.0,5.0851593017578125,20.448066230371992,41.067757983405706
zelda_256,64,1,1.0,4.026885986328125,25.821857024849756,42.081110273144944
zelda_256,64,2,1.0,3.7844390869140625,27.47611252454469,42.35078841499436
zelda_256,64,3,1.0,4.3289031982421875,24.02032788272077,41.76702486521444
zelda_256,64,4,1.0,4.9449462890625,21.027867264064774,41.189187821218624
